"sex","age","ethnicity","fon","passage","vote"
0,26,"Fon",1,"Control",0
1,26,"Fon",1,"Wife",0
1,39,"Fon",1,"FonWife",0
0,19,"Fon",1,"Control",0
1,45,"Fon",1,"FonWife",1
0,20,"Fon",1,"FonWife",1
1,35,"Fon",1,"Control",0
0,35,"Fon",1,"Wife",1
1,34,"Fon",1,"Control",0
0,23,"Fon",1,"FonWife",1
0,57,"Fon",1,"FonWife",0
0,22,"Fon",1,"Wife",0
0,48,"Fon",1,"Wife",0
1,33,"Mahi",1,"Control",0
1,44,"Fon",1,"FonWife",1
0,52,"Fon",1,"FonWife",1
0,26,"Fon",1,"FonWife",0
0,29,"Fon",1,"Control",0
1,42,"Fon",1,"Wife",1
0,41,"Fon",1,"Control",0
1,40,"Fon",1,"Wife",1
0,43,"Fon",1,"Control",0
1,21,"Fon",1,"FonWife",0
0,41,"Fon",1,"Control",1
0,36,"Fon",1,"Wife",0
1,44,"Fon",1,"Wife",0
0,38,"Fon",1,"FonWife",0
1,40,"Fon",1,"Control",1
0,30,"Fon",1,"Control",1
0,31,"Fon",1,"Wife",0
1,35,"Fon",1,"Control",0
1,42,"Fon",1,"FonWife",0
0,23,"Fon",1,"Control",0
1,36,"Fon",1,"FonWife",0
0,27,"Fon",1,"Wife",0
0,26,"Fon",1,"Control",0
1,34,"Fon",1,"Wife",0
1,20,"Fon",1,"FonWife",0
0,42,"Fon",1,"Control",0
1,34,"Fon",1,"FonWife",0
1,47,"Fon",1,"Control",0
0,21,"Fon",1,"Wife",0
0,31,"Fon",1,"FonWife",1
1,29,"Fon",1,"Control",0
1,26,"Fon",1,"Control",0
1,34,"Fon",1,"Wife",0
1,49,"Fon",1,"Control",1
1,22,"Fon",1,"Control",0
1,53,"Fon",1,"Control",0
0,28,"Fon",1,"Control",0
1,22,"Fon",1,"FonWife",0
0,48,"Fon",1,"Control",1
0,33,"Fon",1,"Control",1
1,23,"Fon",1,"FonWife",0
1,29,"Fon",1,"Control",0
0,21,"Fon",1,"FonWife",1
1,45,"Fon",1,"Control",0
1,32,"Fon",1,"FonWife",0
0,37,"Fon",1,"Wife",1
0,36,"Fon",1,"FonWife",1
1,31,"Fon",1,"Wife",0
0,50,"Fon",1,"Wife",0
0,25,"Fon",1,"Control",0
1,23,"Fon",1,"FonWife",0
1,28,"Fon",1,"FonWife",0
1,53,"Fon",1,"FonWife",1
0,32,"Fon",1,"Control",0
1,40,"Fon",1,"Control",0
1,64,"Fon",1,"Wife",1
1,22,"Fon",1,"Control",0
1,28,"Fon",1,"Wife",0
0,32,"Fon",1,"FonWife",0
0,31,"Fon",1,"FonWife",0
0,50,"Fon",1,"FonWife",1
1,30,"Fon",1,"Wife",0
1,28,"Fon",1,"FonWife",0
0,25,"Fon",1,"Wife",0
0,33,"Fon",1,"Wife",0
0,24,"Fon",1,"FonWife",1
0,19,"Fon",1,"FonWife",1
1,24,"Fon",1,"Wife",0
0,70,"Fon",1,"FonWife",0
1,42,"Fon",1,"Wife",0
1,44,"Fon",1,"Wife",0
0,28,"Fon",1,"Wife",0
0,38,"Fon",1,"FonWife",1
1,28,"Fon",1,"Wife",0
1,34,"Fon",1,"Control",0
1,23,"Fon",1,"Control",0
0,35,"Fon",1,"FonWife",0
1,42,"Fon",1,"Wife",0
0,24,"Fon",1,"FonWife",1
1,18,"Fon",1,"FonWife",0
0,28,"Fon",1,"Control",1
1,28,"Fon",1,"Wife",0
1,22,"Fon",1,"Control",0
1,23,"Fon",1,"Control",0
1,34,"Fon",1,"Wife",0
0,27,"Fon",1,"Control",0
1,38,"Fon",1,"Control",0
1,46,"Fon",1,"Wife",0
0,36,"Fon",1,"Wife",0
1,37,"Fon",1,"Control",0
0,28,"Fon",1,"FonWife",1
1,20,"Fon",1,"Control",0
0,25,"Mahi",1,"FonWife",1
1,37,"Fon",1,"Wife",1
0,23,"Fon",1,"FonWife",0
1,30,"Fon",1,"Wife",0
0,25,"Fon",1,"Wife",0
1,34,"Fon",1,"FonWife",0
1,23,"Fon",1,"Control",0
1,39,"Fon",1,"FonWife",0
0,25,"Fon",1,"Wife",0
0,34,"Fon",1,"Control",1
0,21,"Fon",1,"FonWife",0
0,33,"Fon",1,"Control",1
0,28,"Fon",1,"FonWife",0
0,32,"Fon",1,"Control",0
0,46,"Fon",1,"FonWife",0
0,38,"Fon",1,"Control",0
1,26,"Fon",1,"Control",0
0,20,"Fon",1,"FonWife",0
1,24,"Fon",1,"Control",0
1,31,"Fon",1,"Wife",0
0,42,"Fon",1,"Control",0
1,24,"Fon",1,"FonWife",1
1,36,"Fon",1,"Control",0
1,19,"Fon",1,"Control",0
0,27,"Fon",1,"Control",1
0,24,"Fon",1,"Control",1
1,38,"Fon",1,"Control",0
1,31,"Fon",1,"Wife",0
1,58,"Mahi",1,"Wife",0
0,30,"Fon",1,"Control",0
1,18,"Mahi",1,"Wife",0
0,29,"Fon",1,"FonWife",1
0,29,"Fon",1,"FonWife",0
0,35,"Fon",1,"Wife",0
1,19,"Fon",1,"FonWife",0
0,25,"Fon",1,"Control",0
1,28,"Fon",1,"Wife",0
0,39,"Fon",1,"Control",0
1,24,"Fon",1,"Wife",0
1,26,"Fon",1,"Control",1
0,20,"Fon",1,"FonWife",1
0,21,"Fon",1,"FonWife",1
0,34,"Fon",1,"Control",0
0,37,"Fon",1,"Wife",0
1,22,"Fon",1,"Control",0
1,28,"Mahi",1,"FonWife",0
1,27,"Fon",1,"Wife",0
1,21,"Fon",1,"Control",0
0,26,"Fon",1,"Control",0
1,29,"Fon",1,"Control",0
0,28,"Fon",1,"FonWife",1
1,32,"Mahi",1,"Wife",0
0,20,"Fon",1,"Control",0
