"sex","age","ethnicity","fon","passage","vote"
0,46,"Goun",0,"FonWife",0
0,54,"Goun",0,"Control",0
0,22,"Ditamari",0,"Wife",1
0,21,"Dendi",0,"FonWife",1
0,38,"Ouama",0,"Wife",1
0,22,"Goun",0,"FonWife",0
0,45,"Mina",0,"Control",1
0,23,"Dendi",0,"Control",1
1,46,"Mina",0,"Control",0
0,51,"Goun",0,"FonWife",0
0,40,"Adja",0,"Wife",1
1,32,"Adja",0,"Control",0
1,20,"Goun",0,"FonWife",0
0,25,"Goun",0,"Wife",0
0,32,"Yom",0,"FonWife",1
0,40,"Dendi",0,"Wife",0
0,18,"Adja",0,"Control",1
1,40,"Mina",0,"Wife",0
1,58,"Somba",0,"Control",1
1,30,"Goun",0,"FonWife",1
1,21,"Lokpa",0,"FonWife",1
1,55,"Goun",0,"FonWife",0
0,40,"Ewe",0,"Control",1
1,42,"Dendi",0,"Control",1
1,21,"Yoa",0,"FonWife",1
1,49,"Lokpa",0,"Control",1
1,36,"Ditamari",0,"FonWife",1
0,28,"Somba",0,"Control",1
0,40,"Betamaribe",0,"Wife",1
0,31,"Peul",0,"Control",1
1,27,"Adja",0,"FonWife",1
1,36,"Dendi",0,"Wife",1
1,29,"Dendi",0,"Wife",1
1,28,"Lokpa",0,"Control",1
0,29,"Adja",0,"FonWife",0
1,19,"Adja",0,"Wife",0
1,31,"Mina",0,"FonWife",0
1,22,"Adja",0,"Wife",1
0,55,"Dendi",0,"FonWife",1
1,32,"Peul",0,"Control",1
1,37,"Dendi",0,"Wife",1
0,39,"Dendi",0,"Control",1
0,21,"Goun",0,"FonWife",1
1,32,"Adja",0,"Wife",1
0,31,"Mina",0,"FonWife",0
0,53,"Somba",0,"Control",1
1,39,"Dendi",0,"FonWife",1
0,25,"Betamaribe",0,"FonWife",1
0,38,"Goun",0,"FonWife",0
0,26,"Lokpa",0,"Wife",1
0,21,"Mina",0,"Control",0
1,36,"Goun",0,"Control",1
0,56,"Lokpa",0,"FonWife",0
1,57,"Mina",0,"Control",1
0,39,"Dendi",0,"FonWife",1
0,29,"Adja",0,"Control",1
1,50,"Mina",0,"Wife",0
0,62,"Dendi",0,"Control",1
0,40,"Goun",0,"Wife",0
1,25,"Goun",0,"Wife",0
1,19,"Dendi",0,"FonWife",1
0,22,"Adja",0,"FonWife",1
1,24,"Adja",0,"FonWife",1
1,50,"Mina",0,"Wife",0
1,47,"Mina",0,"Wife",1
1,29,"Mina",0,"Wife",0
1,28,"Somba",0,"Control",0
1,33,"Adja",0,"Wife",0
1,25,"Natimba",0,"FonWife",1
1,20,"Goun",0,"Wife",0
1,43,"Adja",0,"Wife",0
0,27,"Lokpa",0,"FonWife",1
0,23,"Mina",0,"Control",1
1,48,"Goun",0,"FonWife",1
1,66,"Goun",0,"FonWife",1
1,36,"Adja",0,"Control",1
0,34,"Mina",0,"Wife",1
