,beat_burnfood,beat_goesout,sec_school,no_media,country,year,region
1,4.4,18.6,25.2,1.5,Albania,2008,Middle East and Central Asia
4,4.9,19.9,67.7,8.7,Armenia,2000,Middle East and Central Asia
5,2.1,10.3,67.6,2.2,Armenia,2005,Middle East and Central Asia
6,0.3,3.1,46,6.4,Armenia,2010,Middle East and Central Asia
7,12.1,42.5,74.6,7.4,Azerbaijan,2006,Middle East and Central Asia
8,NA,NA,24,41.9,Bangladesh,2004,Asia
9,NA,17.9,27.3,45.1,Bangladesh,2007,Asia
10,4.1,17.3,27.9,48.8,Bangladesh,2011,Asia
11,29.2,44,7.7,33.2,Benin,2001,Sub-Saharan Africa
12,19,36.7,10.2,38.8,Benin,2006,Sub-Saharan Africa
13,6,7.7,14.3,45.7,Benin,2011,Sub-Saharan Africa
14,5.4,9,20.8,8.4,Bolivia,2003,Latin America
15,3.3,5.9,21.6,4.5,Bolivia,2008,Latin America
16,26.3,53.3,4.9,44.3,Burkina Faso,2003,Sub-Saharan Africa
17,9.8,30.3,6.6,48.1,Burkina Faso,2010,Sub-Saharan Africa
18,25,48.8,6.5,38.7,Burundi,2010,Sub-Saharan Africa
19,NA,NA,9.1,NA,Burundi,2012,Sub-Saharan Africa
20,NA,NA,9.7,30.3,Cambodia,2000,Asia
21,NA,8.7,15.2,21.1,Cambodia,2005,Asia
22,13.3,29.8,22.9,32.5,Cambodia,2010,Asia
23,11.7,31.3,24.7,31.4,Cambodia,2014,Asia
24,19.2,33.6,22,45.1,Cameroon,2004,Sub-Saharan Africa
25,13.6,26.5,26.9,40.1,Cameroon,2011,Sub-Saharan Africa
26,NA,NA,3.7,76.3,Chad,2004,Sub-Saharan Africa
27,NA,NA,37.3,NA,Colombia,2000,Latin America
28,NA,NA,38.8,NA,Colombia,2005,Latin America
29,0.2,0.3,39.8,NA,Colombia,2010,Latin America
30,12.7,28.4,25.4,38,Comoros,2012,Latin America
31,NA,51.5,37.7,37,Congo (Brazzaville),2005,Sub-Saharan Africa
32,NA,NA,44.5,NA,Congo (Brazzaville),2009,Sub-Saharan Africa
33,NA,40.8,44.1,34.8,Congo (Brazzaville),2011,Sub-Saharan Africa
34,28.2,53.3,23.6,59.8,Congo Democratic Republic,2007,Sub-Saharan Africa
35,24.4,49.1,27.2,66.3,Congo Democratic Republic,2013,Sub-Saharan Africa
36,NA,NA,12,33.7,Cote d'Ivoire,2005,Sub-Saharan Africa
37,16.4,26.6,12.4,45.5,Cote d'Ivoire,2011,Sub-Saharan Africa
38,2.4,3.2,20.7,3.4,Dominican Republic,2002,Latin America
39,1,1.2,24.6,3.3,Dominican Republic,2007,Latin America
40,0.6,0.8,26.7,5.4,Dominican Republic,2013,Latin America
41,NA,NA,32.3,4.7,Egypt,2000,Middle East and Central Asia
42,NA,NA,35.3,4.8,Egypt,2003,Middle East and Central Asia
43,19,40.4,34.9,3.2,Egypt,2005,Middle East and Central Asia
44,7.9,31.5,36.4,2.8,Egypt,2008,Middle East and Central Asia
45,7,25.5,40.2,2.8,Egypt,2014,Middle East and Central Asia
46,29.1,51.7,10.1,26.4,Eritrea,2002,Sub-Saharan Africa
47,64.5,56.2,5,86.4,Ethiopia,2000,Sub-Saharan Africa
48,61,64.2,5.9,79.9,Ethiopia,2005,Sub-Saharan Africa
49,47.3,43.2,3.9,68.2,Ethiopia,2011,Sub-Saharan Africa
50,NA,NA,32,NA,Gabon,2000,Sub-Saharan Africa
51,10.6,19,44,7.5,Gabon,2012,Sub-Saharan Africa
52,10.6,42,20.8,29.6,Gambia,2013,Sub-Saharan Africa
53,13.9,34,30.9,21.2,Ghana,2003,Sub-Saharan Africa
54,8.3,22.3,35.5,16.7,Ghana,2008,Sub-Saharan Africa
55,34.9,72.4,6.1,51.1,Guinea,2005,Sub-Saharan Africa
56,46.2,82.7,9.5,51,Guinea,2012,Sub-Saharan Africa
57,NA,NA,51.7,5.5,Guyana,2005,Latin America
58,3.5,5.8,52,7.4,Guyana,2009,Latin America
59,10.8,28.8,15.3,32.8,Haiti,2000,Latin America
60,9,22.4,20.3,22.2,Haiti,2005,Latin America
61,3.6,10.8,27.7,24.4,Haiti,2012,Latin America
62,5.5,6,20.6,3.3,Honduras,2005,Latin America
63,4.2,4.3,27,7.4,Honduras,2011,Latin America
64,20.4,29,28.5,35.3,India,2005,Asia
65,3,18.2,31.3,18.1,Indonesia,2002,Asia
66,3.1,23.7,34.3,18.3,Indonesia,2007,Asia
67,2.5,24,37,11.7,Indonesia,2012,Asia
68,59.5,24.1,NA,9.8,Jordan,2002,Middle East and Central Asia
69,7.7,34.9,45.7,2.2,Jordan,2007,Middle East and Central Asia
70,NA,NA,43.3,NA,Jordan,2009,Middle East and Central Asia
71,1.8,12.3,42.7,2,Jordan,2012,Middle East and Central Asia
72,16.3,39.4,13.5,21.8,Kenya,2003,Sub-Saharan Africa
73,13.4,30.7,15.8,19.2,Kenya,2008,Sub-Saharan Africa
74,6.3,23.1,53.2,6.6,Kyrgyz Republic,2012,Middle East and Central Asia
75,12.6,24.4,19.9,42.1,Lesotho,2004,Sub-Saharan Africa
76,6.3,14.2,27,28.7,Lesotho,2009,Sub-Saharan Africa
77,14,41.9,13.8,44.5,Liberia,2007,Sub-Saharan Africa
79,7.4,28.5,19.2,55.5,Liberia,2013,Sub-Saharan Africa
80,8.3,14.4,18.3,37.8,Madagascar,2003,Sub-Saharan Africa
81,7.2,19.2,20,41.5,Madagascar,2008,Sub-Saharan Africa
84,16.5,16.6,6.1,45.9,Malawi,2000,Sub-Saharan Africa
85,11.4,13.9,7.8,31.4,Malawi,2004,Sub-Saharan Africa
86,4.5,5.4,9.6,38.2,Malawi,2010,Sub-Saharan Africa
88,6.3,13,37.1,0.8,Maldives,2009,Asia
89,33.6,74.9,4.6,33.6,Mali,2001,Sub-Saharan Africa
90,23.4,60.3,5.7,24.6,Mali,2006,Sub-Saharan Africa
91,26.3,55,9.3,45.8,Mali,2012,Sub-Saharan Africa
92,NA,NA,7.5,NA,Mauritania,2000,Sub-Saharan Africa
93,4.2,7.3,54.3,3.5,Moldova,2005,Middle East and Central Asia
94,23.6,49.5,18.5,12.6,Morocco,2003,Middle East and Central Asia
95,23.7,36.8,4.5,50.4,Mozambique,2003,Sub-Saharan Africa
96,NA,NA,7.4,NA,Mozambique,2009,Sub-Saharan Africa
97,6.4,8.6,8.5,47.6,Mozambique,2011,Sub-Saharan Africa
98,NA,NA,30.4,20.1,Namibia,2000,Sub-Saharan Africa
99,12.4,18.9,37.6,11.8,Namibia,2006,Sub-Saharan Africa
100,10,12.9,42,27.1,Namibia,2013,Sub-Saharan Africa
101,5,12.2,11.6,NA,Nepal,2001,Asia
102,3,8.8,17.4,30,Nepal,2006,Asia
103,0.1,0.5,24.6,33,Nepal,2011,Asia
104,4.5,5.8,22.7,7.2,Nicaragua,2001,Latin America
105,43.9,56.5,3.1,55.3,Niger,2006,Sub-Saharan Africa
106,34.6,42.7,4.5,59,Niger,2012,Sub-Saharan Africa
107,30.7,52.8,20,35.3,Nigeria,2003,Sub-Saharan Africa
108,16.2,32.2,23.1,38.5,Nigeria,2008,Sub-Saharan Africa
109,NA,NA,23,NA,Nigeria,2010,Sub-Saharan Africa
110,14.2,25.3,23.9,50.4,Nigeria,2013,Sub-Saharan Africa
111,NA,NA,15.7,NA,Pakistan,2006,Asia
112,18.4,29.6,17.8,51.2,Pakistan,2012,Asia
113,NA,NA,31.5,17.3,Peru,2000,Latin America
114,0.6,1.1,33.9,13.6,Peru,2004,Latin America
115,1.2,1.6,33.7,14,Peru,2007,Latin America
116,1.9,1.8,44.4,13.8,Peru,2009,Latin America
117,1.4,1.5,34.7,11.9,Peru,2010,Latin America
118,1,1.1,34.9,11.1,Peru,2011,Latin America
119,1.1,1.1,35.4,11,Peru,2012,Latin America
120,3.1,8.8,32.1,7.6,Philippines,2003,Asia
121,2.1,5.1,34,7.3,Philippines,2008,Asia
122,1.8,4.3,36.2,11.7,Philippines,2013,Asia
123,22.4,36.6,5.7,58.8,Rwanda,2000,Sub-Saharan Africa
124,10.7,26.3,5.4,43.6,Rwanda,2005,Sub-Saharan Africa
125,18.8,35.8,8.9,30.5,Rwanda,2010,Sub-Saharan Africa
127,6.4,10.2,22.1,9.8,Sao Tome and Principe,2008,Sub-Saharan Africa
128,23.4,49.7,8.3,11.9,Senegal,2005,Sub-Saharan Africa
131,24.4,39.9,12.1,20.3,Senegal,2010,Sub-Saharan Africa
132,18.7,46.2,13,19.1,Senegal,2012,Sub-Saharan Africa
133,20.1,40.9,14.3,16.9,Senegal,2014,Sub-Saharan Africa
134,24.5,49.7,10.8,52.3,Sierra Leone,2008,Sub-Saharan Africa
135,18.3,52.9,17.1,56.2,Sierra Leone,2013,Sub-Saharan Africa
136,28.3,50.5,69.1,14.5,Tajikistan,2012,Sub-Saharan Africa
137,NA,NA,4.7,39.6,Tanzania,2003,Sub-Saharan Africa
138,19.6,42.8,3.9,33.4,Tanzania,2004,Sub-Saharan Africa
139,NA,NA,4.9,39.6,Tanzania,2007,Sub-Saharan Africa
140,17.8,36.8,9.5,36,Tanzania,2010,Sub-Saharan Africa
141,NA,NA,10.1,43.7,Tanzania,2011,Sub-Saharan Africa
142,43.2,72.2,26.3,47.7,Timor-Leste,2009,Asia
143,11.2,17.8,20.9,39.4,Togo,2013,Sub-Saharan Africa
144,21.8,40.3,70.4,4.9,Turkmenistan,2000,Middle East and Central Asia
145,22.2,56.3,8,45.4,Uganda,2000,Sub-Saharan Africa
146,NA,NA,9.5,28.2,Uganda,2004,Sub-Saharan Africa
147,23.4,52.2,9.6,25.1,Uganda,2006,Sub-Saharan Africa
148,NA,NA,NA,22,Uganda,2009,Sub-Saharan Africa
149,NA,NA,13.1,25.4,Uganda,2011,Sub-Saharan Africa
150,17.1,37.7,12.5,21,Uganda,2011,Sub-Saharan Africa
151,0.1,0.4,46.7,1.2,Ukraine,2007,Asia
152,NA,NA,49.7,NA,Vietnam,2002,Asia
153,NA,NA,50.8,7.4,Vietnam,2005,Asia
