conflict_id,dyad_id,org,side_a_name,side_a_name_fulltext,side_a_name_mothertongue,side_a_id,side_a_components,side_a_2nd,gwno_a_2nd,side_b_name,side_b_name_fulltext,side_b_name_mothertongue,side_b_id,side_b_components,side_b_2nd,gwno_b_2nd,ext_troop_supp,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,year,best_fatality_estimate,low_fatality_estimate,high_fatality_estimate,location,gwno_location,region,version
10066,10676,1,Hizb-i Wahdat,,Hizb-i Wahdat,300,,,,Junbish-i Milli-yi Islami,,Junbish-i Milli-yi Islami,302,,,,0,1995-02-20,2,1998-03-15,2,1,1998-03-19,,1998,101,101,101,Afghanistan,700,3,19.1
10072,10682,1,Forces of Sayed Mansur Naderi,,Forces of Sayed Mansur Naderi,2518,,,,Hizb-i Islami-yi Afghanistan,,Hizb-i Islami-yi Afghanistan,299,,,,0,1995-09-30,3,1995-10-29,1,1,1995-10-29,,1995,40,40,40,Afghanistan,700,3,19.1
10289,10899,1,NSCN-K,,n/a,224,,,,NSCN-K-K,,,2430,,,,0,2011-12-22,1,2012-06-19,1,1,2012-12-17,,2012,54,52,54,India,750,3,19.1
10310,10920,3,Han Chinese,,Han Chinese,2460,,,,Uighur,,Uighur,2461,,,,0,2009-06-26,1,2009-07-07,2,1,2009-07-07,,2009,187,187,683,China,710,3,19.1
10444,11054,3,Buddhists (Myanmar),,Buddhists (Myanmar),2698,,,,Muslims (Myanmar),,Muslims (Myanmar),2699,,,,0,2001-02-16,3,2001-02-28,3,1,2001-05-23,,2001,37,22,40,Myanmar (Burma),775,3,19.1
10444,11054,3,Buddhists (Myanmar),,Buddhists (Myanmar),2698,,,,Muslims (Myanmar),,Muslims (Myanmar),2699,,,,0,2001-02-16,3,2012-06-13,2,0,,,2012,134,124,160,Myanmar (Burma),775,3,19.1
10444,11054,3,Buddhists (Myanmar),,Buddhists (Myanmar),2698,,,,Muslims (Myanmar),,Muslims (Myanmar),2699,,,,0,2001-02-16,3,2012-06-13,2,1,2013-09-30,,2013,50,50,101,Myanmar (Burma),775,3,19.1
10513,11123,2,Supporters of Awami League,,n/a,372,,,,Supporters of Jamaat-e-Islami,,Supporters of Jamaat-e-Islami,2765,,,,0,1990-06-24,1,2013-12-13,1,1,2013-12-17,,2013,31,24,33,Bangladesh,771,3,19.1
10620,11230,3,Mohajir,,Mohajir,2848,,,,Pashtun,,Pashtun,2847,,,,0,1989-03-14,2,1989-03-18,1,1,1989-08-20,,1989,47,45,47,Pakistan,770,3,19.1
10621,11231,3,Mohajir,,Mohajir,2848,,,,Sindhi,,Sindhi,2849,,,,0,1989-01-25,1,1989-04-19,1,0,,,1989,67,67,67,Pakistan,770,3,19.1
10621,11231,3,Mohajir,,Mohajir,2848,,,,Sindhi,,Sindhi,2849,,,,0,1989-01-25,1,1989-04-19,1,1,1990-07-15,,1990,252,252,252,Pakistan,770,3,19.1
10631,11241,3,Jatoi,,Jatoi,2864,,,,Meher,,Meher,2863,,,,0,1990-06-27,2,1990-06-27,2,1,1990-06-27,,1990,28,28,28,Pakistan,770,3,19.1
10676,11286,3,Assamese,,Assamese,2922,,,,Bodo,,Bodo,814,,,,0,1989-08-12,2,1989-08-12,2,1,1989-08-12,,1989,120,120,151,India,750,3,19.1
10691,11301,2,Supporters of MQM,,Supporters of Muttahida Qaumi Mahaz,2941,,,,Supporters of PPP,,Supporters of Pakistan Peoples Party,2930,,,,0,1990-02-14,1,1990-04-14,1,1,1990-04-14,,1990,26,26,26,Pakistan,770,3,19.1
10698,11308,3,Khadadkhel,,Khadadkhel,2952,,,,Oatizai,,Oatizai,2951,,,,0,1992-09-18,2,1992-09-18,2,1,1992-09-18,,1992,50,50,50,Pakistan,770,3,19.1
10699,11309,2,Supporters of Yousaf Ali Khan Magsi,,Supporters of Yousaf Ali Khan Magsi,2953,,,,Supporters of Zulfikar Ali Khan Magsi,,Supporters of Zulfikar Ali Khan Magsi,2954,,,,0,1992-09-26,1,1993-08-30,1,1,1993-10-21,,1993,33,33,33,Pakistan,770,3,19.1
10732,11342,1,Lashkar of Mohmand tribe,,Lashkar of Mohmand tribe,2987,,,,TTP,,Tehrik-i-Taliban Pakistan,356,,,,0,2009-07-04,1,2009-07-14,1,1,2009-11-15,,2009,53,53,53,Pakistan,770,3,19.1
10773,11383,1,Lashkar-e-Islam,,Lashkar-e-Islam,399,,,,Tawheed ul-Islam ,,Tawheed ul-Islam ,1178,,,,0,2012-03-02,1,2012-10-02,1,1,2012-11-20,,2012,39,39,43,Pakistan,770,3,19.1
10780,11390,3,Bangladeshi Immigrants,,Bangladeshi Immigrants,3057,,,,Bodo,,Bodo,814,,,,0,2012-07-20,1,2012-07-24,2,1,2012-11-12,,2012,73,72,73,India,750,3,19.1
10823,11433,1,Black Axe,,Black Axe,3107,,,,Eyie,,Eyie,3108,,,,0,2002-02-15,2,2011-05-19,1,1,2011-10-27,,2011,31,31,31,Nigeria,475,4,19.1
10823,11433,1,Black Axe,,Black Axe,3107,,,,Eyie,,Eyie,3108,,,,0,2002-02-15,2,2013-06-17,2,1,2013-09-10,,2013,39,39,39,Nigeria,475,4,19.1
10823,11433,1,Black Axe,,Black Axe,3107,,,,Eyie,,Eyie,3108,,,,0,2002-02-15,2,2015-09-04,1,0,,,2015,32,32,32,Nigeria,475,4,19.1
10823,11433,1,Black Axe,,Black Axe,3107,,,,Eyie,,Eyie,3108,,,,0,2002-02-15,2,2015-09-04,1,0,,,2016,52,52,53,Nigeria,475,4,19.1
10823,11433,1,Black Axe,,Black Axe,3107,,,,Eyie,,Eyie,3108,,,,0,2002-02-15,2,2015-09-04,1,1,2017-12-24,,2017,25,18,25,Nigeria,475,4,19.1
10831,11441,1,Black Axe,,Black Axe,3107,,,,Maphite,,Maphite,3116,,,,0,2007-03-02,2,2015-09-21,3,1,2015-09-21,,2015,25,25,27,Nigeria,475,4,19.1
10938,11548,1,Khatumo administration,,Maamul Goboleedka Khaatumo ee Soomaaliya,3211,,,,Republic of Somaliland,,Jamhuuriyadda Soomaaliland,675,,,,0,2012-01-15,1,2012-01-26,1,1,2012-11-28,,2012,158,158,170,Somalia,520,4,19.1
10948,11558,3,Akul,,Akul,3228,,,,Kambrip,,Kambrip,3229,,,,0,2012-06-14,3,2012-11-29,5,1,2012-11-29,,2012,57,57,57,Papua New Guinea,910,3,19.1
11052,11662,1,Jalisco Cartel New Generation,,Cártel de Jalisco Nueva Generación,1151,,,,Los Caballeros Templarios,,Los Caballeros Templarios,1150,,,,0,2012-02-16,1,2012-07-15,1,0,,,2012,68,64,80,Mexico,70,5,19.1
11052,11662,1,Jalisco Cartel New Generation,,Cártel de Jalisco Nueva Generación,1151,,,,Los Caballeros Templarios,,Los Caballeros Templarios,1150,,,,0,2012-02-16,1,2012-07-15,1,0,,,2013,129,129,145,Mexico,70,5,19.1
11052,11662,1,Jalisco Cartel New Generation,,Cártel de Jalisco Nueva Generación,1151,,,,Los Caballeros Templarios,,Los Caballeros Templarios,1150,,,,0,2012-02-16,1,2012-07-15,1,1,2014-12-31,,2014,184,184,216,Mexico,70,5,19.1
11053,11663,1,Beltrán Leyva Cartel,,Cártel de los Beltrán Leyva,1089,,,,Sinaloa Cartel,,Cártel de Sinaloa,775,,,,0,2008-04-18,1,2008-04-30,3,1,2008-07-04,,2008,54,54,54,Mexico,70,5,19.1
11053,11663,1,Beltrán Leyva Cartel,,Cártel de los Beltrán Leyva,1089,,,,Sinaloa Cartel,,Cártel de Sinaloa,775,,,,0,2008-04-18,1,2014-08-01,2,0,,,2014,48,48,101,Mexico,70,5,19.1
11053,11663,1,Beltrán Leyva Cartel,,Cártel de los Beltrán Leyva,1089,,,,Sinaloa Cartel,,Cártel de Sinaloa,775,,,,0,2008-04-18,1,2014-08-01,2,0,,,2015,32,32,247,Mexico,70,5,19.1
11053,11663,1,Beltrán Leyva Cartel,,Cártel de los Beltrán Leyva,1089,,,,Sinaloa Cartel,,Cártel de Sinaloa,775,,,,0,2008-04-18,1,2014-08-01,2,1,2016-12-31,,2016,68,68,961,Mexico,70,5,19.1
11055,11665,1,Los Zetas - Cártel del Noreste faction,,Los Zetas - Cártel del Noreste faction,3296,,,,Los Zetas - Old School Zetas faction ,,Los Zetas - Zetas Vieja Escuela faction,3297,,,,0,2016-02-28,2,2016-07-09,1,1,2016-09-28,,2016,43,43,43,Mexico,70,5,19.1
11055,11665,1,Los Zetas - Cártel del Noreste faction,,Los Zetas - Cártel del Noreste faction,3296,,,,Los Zetas - Old School Zetas faction ,,Los Zetas - Zetas Vieja Escuela faction,3297,,,,0,2016-02-28,2,2018-09-04,2,0,,,2018,44,44,66,Mexico,70,5,19.1
11058,11668,1,Guerreros Unidos,,Guerreros Unidos,3298,,,,Los Rojos,,Los Rojos,3299,,,,0,2012-09-08,1,2014-05-31,5,0,,,2014,164,164,166,Mexico,70,5,19.1
